id,kode_2_digit_id,kode_3_digit,judul,deskripsi
1,1,011,Pertanian Tanaman Semusim,"Golongan ini mencakup penanaman tanaman yang tidak berlangsung lebih dari dua musim panen. Termasuk penanaman tanaman dalam berbagai media dan budidaya tanaman secara genetik, dan juga penanaman untuk tujuan pembibitan dan pembenihan."
2,1,012,Pertanian tanaman tahunan,"Golongan ini mencakup penanaman tanaman yang berlangsung lebih dari dua musim tanam, baik tanaman yang setiap musim mati atau tanaman yang tumbuh terus menerus. Termasuk penanaman tanaman untuk keperluan pembibitan dan pembenihan. Golongan ini juga mencakup kegiatan penanaman tanaman ini di area atau lokasi hutan."
3,1,013,Pertanian Tanaman Hias Dan Pengembangbiakan Tanaman,Golongan ini mencakup kegiatan pengembangbiakan tanaman secara vegetatif yang meliputi penyetekan batang dan penyemaian untuk perkembangbiakan tanaman secara langsung atau mendapatkan batang okulasi tanaman pada keturunan terpilih yang diokulasi yang pada akhirnya ditanam untuk menghasilkan tanaman. Termasuk pertanian tanaman hias dan kegiatan pembibitan.
4,1,014,Peternakan,"Golongan ini mencakup budidaya dan pembibitan hewan ternak, unggas, serangga, binatang melata/reptil, cacing, hewan peliharaan. Termasuk budidaya hewan untuk diambil hasilnya seperti bulu, telur, susu, madu dan lilin lebah dan kepompong ulat sutera."
5,1,016,Jasa penunjang pertanian dan pasca panen,"Golongan ini mencakup kegiatan penunjang dalam memproduksi hasil pertanian dan kegiatan sejenis untuk pertanian yang tidak dilakukan untuk keperluan produksi atas dasar balas jasa (fee) atau kontrak, termasuk jasa pemanenan dan pasca panen, serta menyiapkan hasil pertanian untuk dijual ke pasar."
6,1,017,"Perburuan, penangkapan dan penangkaran tumbuhan/ satwa liar",Golongan ini mencakup kegiatan perburuan dan penangkapan hewan dengan perangkap baik binatang untuk dimakan maupun tidak dan pengambilan hasil hewan seperti kulit dan bulu binatang dari hasil perburuan dan penangkapan. Termasuk kegiatan penangkaran tumbuhan/satwa liar baik darat maupun laut.
7,2,021,Pengelolaan Hutan,"Golongan ini mencakup penanaman pohon-pohon hutan dan perkebunan pohon kecil lahan hutan serta penanaman pohon kecil yang dipotong secara berkala untuk kayu bakar, bubur kayu dan kegunaan lain dalam hutan alam atau hutan tahunan termasuk juga pembibitan tanaman hutan. Termasuk penanaman tanaman industri serta pemeliharaan, perlindungan, pemanenan, dan pemasaran. Kegiatan tersebut dapat dilakukan di hutan alami atau hutan tanam dan di luar kawasan hutan (hutan rakyat). Rangkaian kegiatan pengelolaan hutan meliputi penataan hutan, penyusunan rencana pengelolaan, pemanfaatan, penggunaan kawasan hutan, rehabilitasi dan reklamasi serta perlindungan dan konservasi hutan."
8,2,022,Pemanenan dan Pemungutan Kayu,Golongan ini mencakup pemotongan kayu hutan untuk industri pengolahan dan penggunaan lain dalam bentuk yang belum diolah. Termasuk pemungutan dan pembuatan kayu bakar dan arang kayu di hutan dengan menggunakan cara tradisional.
9,2,023,Pemungutan hasil hutan bukan kayu,"Golongan ini mencakup pemungutan hasil hutan bukan kayu dan tanaman lain yang tumbuh liar. Termasuk jamur, tanaman biji-bijian, anggrek dan tumbuhan liar sejenis, tanaman obat, lak dan damar serta tanaman lain yang tumbuh liar."
10,2,024,Jasa penunjang kehutanan,"Golongan ini mencakup kegiatan yang menunjang kehutanan atas dasar balas jasa (fee) atau kontrak, dan pemanfaatan jasa yang dihasilkan oleh kawasan hutan seperti perencanaan hutan, penaksiran kayu, pengendalian hama hutan, jasa konsultasi dan manajemen hutan, dan pengangkutan kayu dalam hutan. Termasuk juga kegiatan reboisasi hutan yang dilakukan atas dasar kontrak."
11,3,031,Perikanan Tangkap,"Golongan ini mencakup kegiatan \""penangkapan ikan\"", yaitu perburuan, penangkapan organisme air liar yang masih hidup (terutama semua jenis ikan, mollusca dan crustacea) termasuk tumbuhan laut, tumbuhan pesisir atau tumbuhan perairan dalam untuk konsumsi atau tujuan lain yang ditangkap baik menggunakan tangan atau berbagai jenis alat tangkap seperti jaring, dan peralatan pancing lainnya. Kegiatan tersebut dapat dilakukan di daerah pasang sekitar garis pantai (misalnya mollusca seperti remis/kepah dan tiram), sekitar pantai dengan menggunakan jaring, atau dengan menggunakan sampan atau umumnya dengan kapal di laut dekat pantai, laut pesisir pantai atau laut lepas."
12,3,032,Perikanan Budidaya,"Golongan ini mencakup kegiatan perikanan budidaya pembudidayaan ikan untuk menghasilkan produk ikan atau biota air seperti ikan bersirip, mollusca, crustacea, tumbuhan air, buaya, aligator dan binatang ampibi dan lainnya dengan menggunakan cara yang dirancang untuk meningkatkan jumlah ikan biota air yang dibutuhkan melebihi kapasitas lingkungan (sebagai contoh pengembangbiakan secara alami, pemberian makanan dan menjaga dari pemangsa). Meliputi termasuk budidaya berbagai biota air laut, payau dan air tawar, serta tempat penetasan telur ikan dan peternakan cacing laut."
